Tempo,Angulo
10.267,52.56
10.277,54.14
10.288,55.72
10.297,57.46
10.307,59.04
10.317,60.62
10.332,62.36
10.34,63.94
10.348,65.52
10.359,67.26
10.37,68.84
10.38,70.42
10.39,72.16
10.405,73.74
10.412,75.32
10.423,77.05
10.432,78.63
10.446,80.36
10.453,81.94
10.464,83.51
10.473,85.24
10.484,86.82
10.979,88.4
10.984,90.12
10.994,91.7
10.997,93.27
10.999,95.0
11.002,96.57
11.005,98.14
11.007,99.87
11.02,101.44
11.024,103.01
11.026,104.73
11.029,106.3
11.031,107.86
11.033,109.58
11.047,111.14
11.05,112.7
11.05,114.42
11.05,115.99
11.05,117.54
11.05,119.26
11.053,170.61
11.056,172.15
11.058,173.86
11.073,175.41
11.075,176.96
11.077,178.66
11.086,180.21
11.1,181.77
11.106,183.47
11.125,185.02
11.128,186.73
11.136,188.28
11.148,189.84
11.174,191.54
11.191,193.1
11.193,194.82
11.195,196.38
11.201,197.93
11.208,199.65
11.224,201.22
11.231,202.78
11.242,204.5
11.251,206.06
11.261,207.79
11.271,209.36
11.281,210.92
11.296,212.65
11.303,214.23
11.314,215.8
11.327,217.53
11.335,219.11
11.345,220.85
11.355,222.43
11.365,224.01
11.375,225.76
11.385,227.35
11.4,228.95
11.408,230.69
11.417,232.29
11.431,234.05
11.439,235.65
11.449,237.25
11.459,239.01
11.468,240.62
11.479,242.39
11.493,244.0
11.5,245.62
11.514,247.4
11.521,249.02
11.535,250.65
11.542,252.44
11.553,254.07
11.563,255.87
11.573,257.51
11.583,259.15
11.597,260.96
11.604,262.6
11.615,264.41
11.626,266.06
11.638,267.72
11.646,269.54
11.656,271.19
11.666,273.03
11.676,274.7
11.691,276.37
11.698,278.21
11.709,279.89
11.718,281.74
11.729,283.42
11.742,285.11
11.75,286.97
11.76,288.66
11.769,290.35
11.78,292.22
11.791,293.92
11.803,295.81
11.827,297.51
11.829,299.22
11.832,301.12
11.845,302.84
11.853,304.73
11.893,306.45
11.897,308.18
11.9,310.09
11.902,311.81
11.904,313.55
11.916,315.47
11.926,317.21
11.936,319.13
11.95,320.88
11.957,322.64
11.967,324.57
11.978,326.33
11.987,328.26
12.002,330.04
12.01,331.8
12.02,333.74
12.03,335.52
12.04,337.3
12.05,339.25
12.063,341.02
12.071,342.98
12.083,344.77
12.093,346.55
12.102,348.51
12.113,350.31
12.123,352.1
12.137,354.07
12.145,355.86
12.159,357.85
12.166,359.65
12.176,1.45
12.186,3.43
12.196,5.24
12.206,7.04
12.216,9.02
12.226,10.83
12.241,12.65
12.248,14.64
12.257,16.44
12.267,18.26
12.282,20.26
12.29,22.07
12.3,24.06
12.31,25.88
12.32,27.71
12.33,29.71
12.34,31.52
12.355,33.34
12.362,35.35
12.371,37.17
12.381,38.99
12.396,41.0
12.404,42.82
12.414,44.63
12.425,46.63
12.433,48.46
12.444,50.28
12.502,52.28
12.506,54.1
12.51,55.92
12.513,57.93
12.514,59.74
12.516,61.56
12.518,63.57
12.527,65.39
12.537,67.2
12.547,69.2
12.557,71.03
12.567,72.84
12.581,74.83
12.588,76.65
12.598,78.65
12.609,80.46
12.626,82.27
12.631,84.27
12.641,86.08
12.651,87.89
12.661,89.88
12.675,91.69
12.683,93.49
12.692,95.48
12.713,97.29
12.717,99.09
12.727,101.07
12.739,102.87
12.746,104.68
12.765,106.66
12.768,108.45
12.775,110.43
12.791,112.23
12.797,114.02
12.817,115.99
12.821,117.79
12.828,119.58
12.844,121.54
12.847,123.33
12.87,125.3
12.873,127.08
12.88,128.87
12.896,130.83
12.9,132.62
12.923,134.58
12.927,136.36
12.932,138.14
12.95,140.1
12.953,141.87
12.962,143.65
12.977,145.62
12.984,147.39
13.003,149.34
13.006,151.12
13.015,152.9
13.03,154.85
13.038,156.62
13.047,158.4
13.055,160.36
13.066,162.13
13.076,164.08
13.102,165.86
13.105,167.63
13.108,169.57
13.118,171.35
13.128,173.31
13.138,175.07
13.148,176.84
13.189,178.8
13.194,180.58
13.199,182.35
13.202,184.3
13.204,186.08
13.211,188.03
13.221,189.8
13.232,191.58
13.242,193.55
13.252,195.32
13.262,197.1
13.278,199.06
13.285,200.85
13.298,202.8
13.306,204.59
13.316,206.38
13.326,208.34
13.336,210.12
13.346,212.1
13.356,213.9
13.366,215.68
13.381,217.65
13.388,219.46
13.397,221.26
13.409,223.23
13.418,225.03
13.429,227.02
13.444,228.83
13.451,230.63
13.461,232.63
13.471,234.45
13.481,236.44
13.492,238.26
13.506,240.09
13.513,242.09
13.523,243.91
13.533,245.93
13.544,247.76
13.553,249.59
13.564,251.61
13.579,253.45
13.586,255.47
13.596,257.31
13.606,259.16
13.62,261.2
13.628,263.05
13.637,264.91
13.648,266.96
13.657,268.82
13.667,270.87
13.682,272.74
13.69,274.61
13.7,276.66
13.714,278.54
13.721,280.42
13.731,282.49
13.741,284.37
13.751,286.46
13.768,288.35
13.784,290.24
13.787,292.33
13.795,294.23
13.803,296.13
13.813,298.22
13.824,300.14
13.833,302.24
13.848,304.15
13.856,306.07
13.866,308.19
13.876,310.11
13.886,312.22
13.896,314.16
13.907,316.1
13.917,318.22
13.928,320.16
13.937,322.11
13.952,324.24
13.96,326.18
13.969,328.33
13.981,330.28
13.99,332.22
14.0,334.37
14.014,336.33
14.022,338.48
14.03,340.43
14.04,342.41
14.055,344.57
14.063,346.53
14.073,348.5
14.083,350.67
14.097,352.64
14.104,354.8
14.115,356.78
14.129,358.76
14.136,0.93
14.148,2.9
14.156,4.9
14.166,7.07
14.177,9.04
14.186,11.03
